 Date        time  sm   APmag  S-brt   Illu%            delta      deldot
 2014-Dec-02 02:45  m  -11.37   4.55  78.725 0.00247009032706  -0.1041797
 2014-Dec-02 03:00  m  -11.37   4.55  78.796 0.00246951712762  -0.0862814
 2014-Dec-02 03:15  m  -11.38   4.54  78.865 0.00246905293903  -0.0679555
 2014-Dec-02 03:30  m  -11.38   4.54  78.934 0.00246870010799  -0.0492774
 2014-Dec-02 03:45  m  -11.38   4.54  79.002 0.00246846052364  -0.0303239
 2014-Dec-02 04:00  m  -11.38   4.54  79.070 0.00246833560908  -0.0111729
 2014-Dec-02 04:15  m  -11.39   4.54  79.137 0.00246832631496   0.0080966
 2014-Dec-02 04:30  t  -11.39   4.53  79.204 0.00246843311521   0.0274050
 2014-Dec-02 04:45  m  -11.39   4.53  79.272 0.00246865600501   0.0466729
 2014-Dec-02 05:00  m  -11.39   4.53  79.339 0.00246899450086   0.0658207
 2014-Dec-02 05:15  m  -11.40   4.53  79.406 0.00246944764290   0.0847696
 2014-Dec-02 05:30  m  -11.40   4.53  79.473 0.00247001399932   0.1034417
 2014-Dec-02 05:45  m  -11.40   4.53  79.541 0.00247069167306   0.1217603
 2014-Dec-02 06:00  m  -11.40   4.52  79.609 0.00247147831039   0.1396502
 2014-Dec-02 06:15  m  -11.41   4.52  79.678 0.00247237111177   0.1570386
 2014-Dec-02 06:30  m  -11.41   4.52  79.747 0.00247336684455   0.1738544
 2014-Dec-02 06:45  m  -11.41   4.52  79.817 0.00247446185757   0.1900294
 2014-Dec-02 07:00  m  -11.41   4.52  79.888 0.00247565209766   0.2054984
 2014-Dec-02 07:15  m  -11.41   4.51  79.960 0.00247693312784   0.2201992
 2014-Dec-02 07:30  m  -11.41   4.51  80.033 0.00247830014703   0.2340728
 2014-Dec-02 07:45  m  -11.42   4.51  80.107 0.00247974801146   0.2470643
 2014-Dec-02 08:00  m  -11.42   4.51  80.181 0.00248127125724   0.2591224
 2014-Dec-02 08:15  m  -11.42   4.51  80.258 0.00248286412439   0.2701999
 2014-Dec-02 08:30  m  -11.42   4.50  80.335 0.00248452058181   0.2802539
 2014-Dec-02 08:45  m  -11.42   4.50  80.414 0.00248623435344   0.2892459
