"Date","time","sm","APmag","S-brt","Illu%","delta","deldot"
2014-Dec-03,11:30,m,-11.79,4.23,89.155,0.0025140918,0.3232372
2014-Dec-03,11:45,m,-11.79,4.22,89.226,0.0025160342,0.3222385
2014-Dec-03,12:00,m,-11.79,4.22,89.297,0.002517967,0.3200629
2014-Dec-03,12:15,m,-11.79,4.22,89.37,0.0025198832,0.3167222
2014-Dec-03,12:30,s,-11.79,4.22,89.444,0.0025217758,0.3122325
2014-Dec-03,12:45,,-11.8,4.21,89.519,0.002523638,0.3066147
2014-Dec-03,13:00,,-11.8,4.21,89.595,0.0025254631,0.2998936
2014-Dec-03,13:15,,-11.8,4.21,89.671,0.0025272445,0.2920985
2014-Dec-03,13:30,,-11.8,4.2,89.749,0.0025289758,0.2832626
2014-Dec-03,13:45,,-11.81,4.2,89.827,0.002530651,0.273423
2014-Dec-03,14:00,A,-11.81,4.2,89.907,0.002532264,0.2626205
2014-Dec-03,14:15,A,-11.81,4.2,89.987,0.0025338092,0.2508997
2014-Dec-03,14:30,N,-11.81,4.19,90.068,0.0025352813,0.2383081
2014-Dec-03,14:45,N,-11.82,4.19,90.149,0.0025366751,0.2248967
2014-Dec-03,15:00,N,-11.82,4.19,90.231,0.002537986,0.2107193
2014-Dec-03,15:15,C,-11.82,4.18,90.313,0.0025392093,0.1958325
2014-Dec-03,15:30,C,-11.83,4.18,90.396,0.0025403411,0.1802954
2014-Dec-03,15:45,*,-11.83,4.18,90.48,0.0025413776,0.1641694
2014-Dec-03,16:00,*,-11.83,4.17,90.563,0.0025423155,0.1475179
2014-Dec-03,16:15,*,-11.84,4.17,90.647,0.0025431518,0.1304062
2014-Dec-03,16:30,*,-11.84,4.17,90.731,0.0025438839,0.1129012
2014-Dec-03,16:45,*,-11.85,4.16,90.815,0.0025445097,0.0950712
2014-Dec-03,17:00,*,-11.85,4.16,90.899,0.0025450274,0.0769855
2014-Dec-03,17:15,*,-11.85,4.16,90.983,0.0025454356,0.0587143
2014-Dec-03,17:30,*,-11.86,4.15,91.066,0.0025457336,0.0403285
2014-Dec-03,17:45,*,-11.86,4.15,91.15,0.0025459208,0.0218993
2014-Dec-03,18:00,*,-11.87,4.14,91.233,0.0025459972,0.003498
2014-Dec-03,18:15,*,-11.87,4.14,91.316,0.0025459631,-0.014804
2014-Dec-03,18:30,*,-11.88,4.14,91.398,0.0025458194,-0.032936
2014-Dec-03,18:45,*,-11.88,4.13,91.48,0.0025455673,-0.0508277
2014-Dec-03,19:00,*,-11.88,4.13,91.562,0.0025452084,-0.0684096
2014-Dec-03,19:15,*,-11.89,4.13,91.642,0.0025447449,-0.0856135
2014-Dec-03,19:30,*,-11.89,4.12,91.722,0.0025441791,-0.1023724
2014-Dec-03,19:45,*,-11.9,4.12,91.802,0.0025435141,-0.118621
2014-Dec-03,20:00,*,-11.9,4.12,91.88,0.0025427529,-0.1342956
2014-Dec-03,20:15,*,-11.91,4.11,91.958,0.0025418994,-0.1493348
2014-Dec-03,20:30,*,-11.91,4.11,92.034,0.0025409574,-0.1636793
2014-Dec-03,20:45,*,-11.92,4.11,92.11,0.0025399313,-0.1772724
2014-Dec-03,21:00,*,-11.92,4.1,92.184,0.0025388259,-0.1900601
2014-Dec-03,21:15,*,-11.93,4.1,92.258,0.0025376461,-0.2019912
2014-Dec-03,21:30,*,-11.94,4.1,92.33,0.0025363972,-0.2130178
2014-Dec-03,21:45,*,-11.94,4.09,92.401,0.0025350848,-0.2230952
2014-Dec-03,22:00,*,-11.95,4.09,92.471,0.0025337147,-0.2321823
2014-Dec-03,22:15,*,-11.95,4.09,92.54,0.002532293,-0.2402417
2014-Dec-03,22:30,*,-11.96,4.08,92.607,0.002530826,-0.2472396
2014-Dec-03,22:45,*,-11.96,4.08,92.674,0.0025293202,-0.2531466
2014-Dec-03,23:00,*r,-11.97,4.08,92.739,0.0025277821,-0.2579372
2014-Dec-03,23:15,*m,-11.97,4.08,92.802,0.0025262187,-0.2615903
2014-Dec-03,23:30,*m,-11.98,4.07,92.865,0.0025246368,-0.2640889
2014-Dec-03,23:45,*m,-11.98,4.07,92.926,0.0025230433,-0.265421
2014-Dec-04,00:00,*m,-11.99,4.07,92.986,0.0025214454,-0.2655788
2014-Dec-04,00:15,*m,-11.99,4.06,93.044,0.00251985,-0.2645592
2014-Dec-04,00:30,Cm,-12,4.06,93.101,0.0025182643,-0.2623639
2014-Dec-04,00:45,Cm,-12,4.06,93.157,0.0025166953,-0.2589993
2014-Dec-04,01:00,Nm,-12.01,4.06,93.212,0.0025151501,-0.2544765
2014-Dec-04,01:15,Nm,-12.01,4.05,93.265,0.0025136356,-0.2488114
2014-Dec-04,01:30,Nm,-12.01,4.05,93.317,0.0025121585,-0.2420246
2014-Dec-04,01:45,Am,-12.02,4.05,93.368,0.0025107255,-0.2341414
2014-Dec-04,02:00,Am,-12.02,4.05,93.418,0.0025093432,-0.2251914
2014-Dec-04,02:15,m,-12.03,4.04,93.466,0.0025080179,-0.215209
2014-Dec-04,02:30,m,-12.03,4.04,93.514,0.0025067556,-0.204233
2014-Dec-04,02:45,m,-12.03,4.04,93.56,0.0025055623,-0.1923063
2014-Dec-04,03:00,m,-12.04,4.04,93.605,0.0025044434,-0.1794758
2014-Dec-04,03:15,m,-12.04,4.03,93.65,0.0025034044,-0.1657925
2014-Dec-04,03:30,m,-12.05,4.03,93.693,0.0025024501,-0.1513111
2014-Dec-04,03:45,m,-12.05,4.03,93.736,0.0025015852,-0.1360897
2014-Dec-04,04:00,m,-12.05,4.03,93.777,0.0025008139,-0.1201896
2014-Dec-04,04:15,m,-12.06,4.03,93.818,0.0025001402,-0.1036753
2014-Dec-04,04:30,m,-12.06,4.02,93.859,0.0024995675,-0.0866137
2014-Dec-04,04:45,m,-12.06,4.02,93.898,0.0024990989,-0.0690744
2014-Dec-04,05:00,m,-12.06,4.02,93.937,0.0024987371,-0.051129
2014-Dec-04,05:15,m,-12.07,4.02,93.976,0.0024984844,-0.032851
2014-Dec-04,05:30,m,-12.07,4.02,94.014,0.0024983424,-0.0143153
2014-Dec-04,05:45,m,-12.07,4.01,94.052,0.0024983125,0.0044022
2014-Dec-04,06:00,m,-12.07,4.01,94.089,0.0024983955,0.0232244
2014-Dec-04,06:15,t,-12.08,4.01,94.127,0.002498592,0.0420742
2014-Dec-04,06:30,m,-12.08,4.01,94.164,0.0024989017,0.0608741
2014-Dec-04,06:45,m,-12.08,4.01,94.2,0.0024993242,0.0795469
2014-Dec-04,07:00,m,-12.08,4,94.237,0.0024998585,0.0980161
2014-Dec-04,07:15,m,-12.08,4,94.274,0.0025005031,0.1162061
2014-Dec-04,07:30,m,-12.09,4,94.311,0.0025012561,0.1340425
2014-Dec-04,07:45,m,-12.09,4,94.348,0.0025021151,0.1514526
2014-Dec-04,08:00,m,-12.09,4,94.385,0.0025030775,0.1683657
2014-Dec-04,08:15,m,-12.09,3.99,94.423,0.0025041399,0.1847131
2014-Dec-04,08:30,m,-12.09,3.99,94.461,0.0025052988,0.2004289
2014-Dec-04,08:45,m,-12.09,3.99,94.499,0.0025065502,0.2154499
2014-Dec-04,09:00,m,-12.09,3.99,94.537,0.0025078898,0.229716
2014-Dec-04,09:15,m,-12.1,3.99,94.576,0.0025093127,0.2431705
2014-Dec-04,09:30,m,-12.1,3.98,94.616,0.0025108141,0.2557602
2014-Dec-04,09:45,m,-12.1,3.98,94.656,0.0025123884,0.2674358
2014-Dec-04,10:00,m,-12.1,3.98,94.696,0.0025140301,0.2781518
2014-Dec-04,10:15,m,-12.1,3.98,94.737,0.0025157333,0.2878669
2014-Dec-04,10:30,m,-12.1,3.97,94.779,0.0025174919,0.2965441
2014-Dec-04,10:45,m,-12.1,3.97,94.821,0.0025192995,0.304151
2014-Dec-04,11:00,m,-12.11,3.97,94.864,0.0025211495,0.3106593
2014-Dec-04,11:15,m,-12.11,3.97,94.908,0.0025230353,0.3160456
2014-Dec-04,11:30,m,-12.11,3.96,94.952,0.0025249501,0.3202911
2014-Dec-04,11:45,m,-12.11,3.96,94.997,0.002526887,0.3233818
